Month,Division,GA Source,Package/Roadblock,Device,Placement Start Date,Placement End Date,Job# (s),Analytic Campaign Name,Campaign Name,Creative,Impressions,Clicks,Media Cost
2014-02,SoCal Coastal,millennial,Millennial Arbor Rose Sustain Zip Targ Chinese Lang 2/1-2/28 PACKAGE,mobile,2/1/2014,2/28/2014,111844,,Arbor Rose Sustain (Arcadia),SCL_1x1_2,2219.00,10.00,51.62
2014-02,SoCal Coastal,millennial,Millennial Canton Hills Sustain Zip Targ Military 2/1-2/28 PACKAGE,mobile,2/1/2014,2/28/2014,114272,,Canton Hills,SCL_1x1,34189.00,190.00,999.50
2014-02,SoCal Coastal,millennial,Millennial La Mesa Meadows Sustain Zip Targ Military 2/1-2/28 PACKAGE,mobile,2/1/2014,2/28/2014,114276,,La Mesa Meadows,SCL_1x1,61666.00,220.00,700.00
2014-02,SoCal Coastal,millennial,Millennial Arbor Rose Sustain Zip Targ Chinese Lang 2/1-2/28 PACKAGE,mobile,2/1/2014,2/28/2014,111845,,Arbor Rose Sustain (Arcadia),SCL_1x1_2,13276.00,48.00,698.39
2014-02,SoCal Inland,millennial,Millennial SCL Inland - Mahogany Hills GO - LA Zip DMA Military CPC 2/10-3/10 PACKAGE,mobile,2/10/2014,3/10/2014,115556; 115263,,Mahogany Hills,Grand Opening,15820.00,52.00,1130.50
2014-02,SoCal Inland,millennial,Millennial SCL Inland - The Enclave - LA Zip DMA Chinese 2/1-2/28 PACKAGE,mobile,2/1/2014,2/28/2014,114273,,The Enclave,SCL_1x1,10538.00,43.00,874.80
2014-02,SoCal Inland,millennial,Millennial SCL Inland - The Preserve Sustain - LA Zip DMA Chinese 2/1-2/28 PACKAGE,mobile,2/1/2014,2/28/2014,113999,,Preserve,SCL_1x1,16828.00,123.00,874.80
2014-02,SoCal Coastal,mobileT,MobileTheory Antelope Valley Sustain Zip Targeting 2/1-2/28 PACKAGE,mobile,2/1/2014,2/28/2014,110264,,Copper Moon,SCL_Copper Moon_1x1,10987.00,22.00,54.92
2014-02,SoCal Coastal,mobileT,MobileTheory Antelope Valley Sustain Zip Targeting 2/1-2/28 PACKAGE,mobile,2/1/2014,2/28/2014,111557,,Gibraltar,SCL_Gibraltar_1x1,12712.00,38.00,184.69
2014-02,SoCal Coastal,mobileT,MobileTheory Antelope Valley Sustain Zip Targeting 2/1-2/28 PACKAGE,mobile,2/1/2014,2/28/2014,114962,,Dawn Creek Sustain,SCL_Dawn Creek 2_1x1,16723.00,171.00,158.19
2014-02,SoCal Coastal,mobileT,MobileTheory Monte Vista GO Sustain Zip Targeting Spanish Lang 2/1-2/28 PACKAGE,mobile,2/1/2014,2/28/2014,114278,,Monte Vista,SCL_1x1,17007.00,75.00,219.84
2014-02,SoCal Coastal,mobileT,MobileTheory Canton Hills Sustain Zip Targeting Spanish Lang 2/1-2/28 PACKAGE,mobile,2/1/2014,2/28/2014,114274,,Canton Hills,SCL_1x1,23693.00,134.00,400.00
2014-02,SoCal Coastal,mobileT,MobileTheory Arbor Rose Sustain Zip Targeting 2/1-2/28 PACKAGE,mobile,2/1/2014,2/28/2014,111844,,Arbor Rose Sustain (Arcadia),SCL_1x1_2,29033.00,123.00,143.58
2014-02,SoCal Coastal,mobileT,MobileTheory Antelope Valley Sustain Zip Targeting 2/1-2/28 PACKAGE,mobile,2/1/2014,2/28/2014,110073,,Dorado Skies Sustain,SCL_Dorado_1x1,31833.00,211.00,305.75
2014-02,SoCal Coastal,mobileT,MobileTheory Dawn Creek GO Sustain Zip Targeting 1/13-2/9 PACKAGE,mobile,1/13/2014,2/9/2014,113969; 114962,,Dawn Creek Sustain,SCL_1x1,32765.00,215.00,544.52
2014-02,SoCal Coastal,mobileT,MobileTheory Rancho Santalina Haciendas Sustain Sustain Zip Targeting 2/1-2/28 PACKAGE,mobile,2/1/2014,2/28/2014,113971,,Rancho Santalina Haciendas,SCL_1x1,32712.00,262.00,157.32
2014-02,SoCal Coastal,mobileT,MobileTheory Antelope Valley Sustain Zip Targeting 2/1-2/28 PACKAGE,mobile,2/1/2014,2/28/2014,110264,,Copper Moon,SCL_Copper Moon_1x1,41922.00,328.00,189.87
2014-02,SoCal Coastal,mobileT,MobileTheory Ridgeview at Echo Ridge Sustain Sustain Zip Targeting 2/1-2/28 PACKAGE,mobile,2/1/2014,2/28/2014,113972,,Ridgeview at Echo Ridge,SCL_1x1,42020.00,154.00,205.63
2014-02,SoCal Coastal,mobileT,MobileTheory Rancho Santalina Haciendas Sustain Sustain Zip Targeting 2/1-2/28 PACKAGE,mobile,2/1/2014,2/28/2014,113971,,Rancho Santalina Haciendas,SCL_1x1,51102.00,220.00,247.39
2014-02,SoCal Coastal,mobileT,MobileTheory Monte Vista GO Sustain Zip Targeting 2/1-2/28 PACKAGE,mobile,2/1/2014,2/28/2014,113970,,Monte Vista,SCL_1x1,51776.00,459.00,255.97
